NO,NAMA JAMU,KHASIAT,KANDUNGAN,ATURAN MINUM,EFEK SAMPING,JENIS,PRODUSEN,KATEGORI,LOKASI PEMASARAN,LOKASI PRODUKSI,KABUPATEN,PERIZINAN,
161,jamu pelangsing(bobot idaman),"menurunkan berat badan sesuai dengan idaman, menahan bobot badan supaya tidak gemuk berlebihan, mengontrol kadar lemak bagian perut","Taenopha Curcas, Brasica Tunceace, Parameria Laevigata, Zingerber Cassumunar, dan Bahan-bahan lainnya",2×4 kapsul setiap pagi dan malam,tidak ada,kapsul,ribkah maryam jokotole,Jamu Kesehatan,Se-indonesia,Jl.KHA. Marzuki 68 B,Bangkalan,BPOM,
162,jamu pegel linu,"sangat berkhasiat menyembuhkan pegal - pegal linu otot - otot anda, menyembuhkan penyakit rematik / encok dan sakit pinggang","Alpina Galanga Rhizoma, Curcuma Xanthorrhiza Rhizoma, Kaemferia Galangae Rhizoma, Piper Nigrum Semen, Zingiber Purpureum Rhizoma","
2 x 4 kapsul sehari",tidak ada,kapsul,ribkah maryam jokotole,Jamu Kesehatan,Se-indonesia,Jl.KHA. Marzuki 68 B,Bangkalan,BPOM,
163,jamu nifas (pluntur),"sangat efektif untuk wanita yang sering terlambat bulan, datang bulan tidak teratur, sakit-sakit badan waktu datang bulan","elephantocus scaiber, andrographis paniculata, sida thombifolio, nigella siativa, kamferia galanga, dan Bahan-bahan lainnya",Diminum 2x sehari @10 pil,tidak ada,pil,ribkah maryam jokotole,Jamu Perawatan Kewanitaan,Se-indonesia,Jl.KHA. Marzuki 68 B,Bangkalan,BPOM,
164,sehat lelaki (perkasa lelaki),Memperkuat fungsi lelaki serta meningkatkan ketahanan kejantanan,"Dececories Tubes, Parkies Semar, Piper Nigrum Tructus, Burnani Corex, Eurycomes Radik, Alyxies Corex, dan Bahan-bahan lainnya",Diminum 2x sehari @10 pil,tidak ada,pil,ribkah maryam jokotole,Jamu Pasutri,Se-indonesia,Jl.KHA. Marzuki 68 B,Bangkalan,BPOM,
165,sepet madura(empot-empotan),"membuat denyut - denyut istimewa yang khas, memperkuat otot - otot kewanitaan, menghilangkan bau tidak enak gatal - gatal dan keputihan","Guazumae Follum, Foenigraeci Semen, Massola Aromatica, Nigallae Semen, dan Bahan-bahan lainnya","
2 x 4 kapsul sehari",tidak ada,kapsul,ribkah maryam jokotole,Jamu Perawatan Kewanitaan,Se-indonesia,Jl.KHA. Marzuki 68 B,Bangkalan,BPOM,
166,sehat perempuan (montok payudara),"mengencangkan payudara, memperbesar payudara yang kurang ideal, menyehatkan dan memperindah payudara","Rauwolfiae Radix, Zingerber Cassumunar, Sappan Lignum, Andrographis Paniculata, Lichen Dasypogus, dan Bahan-bahan lainnya","
2 x 4 kapsul sehari",tidak ada,kapsul,ribkah maryam jokotole,Jamu Perawatan Kewanitaan,Se-indonesia,Jl.KHA. Marzuki 68 B,Bangkalan,BPOM,
167,sari harum(keputihan),"sangat mujarab dan benar - benar ampuh untuk segala macam keputihan yang lama maupun yang baru. Menghilangkan bau yang tidak enak, gatal - gatal ","Granati Cortex, Caryophylli Fios, Alil Sativi Bulbus, Parameriae Cortex, Peperis Folium",Diminum 2x sehari @10 pil,tidak ada,pil,ribkah maryam jokotole,Jamu Perawatan Kewanitaan,Se-indonesia,Jl.KHA. Marzuki 68 B,Bangkalan,BPOM,
168,awet ayu,"membuat dan menjaga kulit tubuh perempuan segar halus dan bercahaya, mengencangkan seluruh otot - otot tubuh anda agar tetap singset. Menjaga tubuh tetap sehat dan segar selalu","curcumae xanthorriza mizome ekstrak, foeniculum vulgare semen ekstrak, citrus hystrix cortex ekstrak, alyxia stellata cortex ekstrak, areca catechu semen ekstrak","
2 x 4 kapsul sehari",tidak ada,kapsul,ribkah maryam jokotole,Jamu Perawatan Kewanitaan,Se-indonesia,Jl.KHA. Marzuki 68 B,Bangkalan,BPOM,
169,SUPER SEHAT BURUNG WALET,"Insya Allah sangat ampuh untuk mencegah dan menyembuhkan Rematik, Asam urat, Tekanan darah tinggi, Asma, Maag, Ginjal, Tipes, Cacingan, Sakit gigi, Lemah syahwat, Gatal - gatal alergi, Paru-paru basah, Kurang nafsu makan, Melancarkan Sirkulasi darah, Jerawat, Bisul, Kudis, Panu, Merawat Ms V, Mengatasi keputihan, Merawat dan mengencangkan kulit, Mencegah dan mengatasi penyakit menahun, Kelumpuhan / badan mati separuh seperti Stroke, Kanker, Liver, Kencing manis basah / kencing manis kering, Menjaga dan menambah daya tahan tubuh.","Rimpang Kunyit,Rimpang Kencur, Rimpang Jahe, Herba Sambiloto","pengobatan, dewasa 1 sendok makan 2x sehari. Anak-anak 1/2 sendok makan 2x sehari diseduh dengan air matang 200 ml. untuk menjaga badan tetap sehat dan bugar diminum rutin 1x sehari",tidak ada,serbuk,PT.QOMAR JAYA NUSANTARA,Jamu Kesehatan,online,Sumenep,Sumenep,KEMENKES,
170,SUPER KUAT BURUNG WALET,"Insyaallah sangat ampuh untuk menambah kepuasan Sex, Tahan keluarnya air sperma, menambah kejantanan, mengencangkan otot zakar, menguatkan dan mengobati impoten yang menahun, merangsang dan mempercepat hidupnya dzakar, menambah energi baru setelah berhubungan, mengganti sel-sel tubuh yang aus, mengobati lesu, loyo, sakit pinggang, sakit kepala, dan menambah daya tahan tubuh dan menambah vitalitas pria dan wanita.","10% Ekstrak Kopi Rempah, 15% Kulit Batang Kayu Manis (Cassia), 20% Daun Psidium",Sehari 2 bungkus diminum pagi dan sore/malam 25menit-1 jam sebelum tidur (Boleh dicampur dengan telur ayam kampung dan madu) Untuk menjaga tubuh tetap sehat diminum 1 hari sekali.,tidak ada,serbuk,PT.QOMAR JAYA NUSANTARA,Jamu Pasutri,online,Sumenep,Sumenep,KEMENKES,
