NO,NAMA JAMU,KHASIAT,KANDUNGAN,ATURAN MINUM,EFEK SAMPING,JENIS,PRODUSEN,KATEGORI,LOKASI PEMASARAN,LOKASI PRODUKSI,KABUPATEN,PERIZINAN,
196,ramuan tradisional madura,"asma, rematik, tekanan darah tinggi, kencing manis, kencing batu, ginjal, amandel, tumor, migrain, liver alergi maag, maag, lemah jantung, exim, kurang nafsu makan, kurang darah,  asam urat","curcuma rhizoma, zingiberis rhizoma, kaempferiae rhizoma, burmani cortex, languatis rhizoma, dll",1 sendok makan diseduh dengan air hangat setengah gelas,tidak ada,serbuk,CV.WAHYU ILLAHI,Jamu Kesehatan,,Sumenep,Sumenep,BPOM,
197,jamu sehat bugar,"Membantu menyembuhkan, Asma, Sebagai obat Rematik, Bisa mengobati Tekanan, Darah Tinggi, Dapat membantu menyembuhkan, Kencing Manis (diabetes), Dapat membantu menyembuhkan Kencing Batu, Bisa Membantu menyembuhkan Penyakit, Ginjal, Membantu menyembuhkan Amandel, Membantu Menyembuhkan,Tumor, Dapat membantu menyembuhkan, Migrain (sakit kepala), Bisa membantu menyembuhkan, Liver atau hepatitis, Dapat membantu menyembuhkan, Alergi, Bisa membantu menyembuhkan, Menyembuhkan Maag, Dapat membantu menyembuhkan, Lemah Jantung, Membantu , Mengobati Eksim (penyakit kulit), Menambah Nafsu makan, Bisa membantu menyembuhkan Kurang darah, Bisa membantu menyembuhkan Lemah, Syahwat, dan Dapat membantu menyembuhkan Asam Urat","temulawak 3,75 gram,  rimpang jahe 3 gram, kencur 3 gram, kayu manis 2,25 gram, laos 2,70, kopi arabica 0,30 gram","Sehari 2 kali satu sendok makan, Setiap kali minum 1 sendok makan di sedu dengan air matang panas 100 cc, boleh ditambah madu dan jeruk nipis",tidak ada,serbuk,CV.WAHYU ILLAHI,Jamu Kesehatan,,Sumenep,Sumenep,BPOM,
198,galian singset (susut perut),untuk mengurangi lemak dalam tubuh,"30% Daun Guazumae, 10% Bunga Cengkeh, 15% Rimpang Temulawak, 15% Rimpang Jahe, 15% Kulit Batang Kayu Manis (Cassia), Dan bahan lainnya hingga total 100%.",sehari 3 × @ 5 pil,tidak ada,selai,berkah madu/sumber madu,Jamu Kesehatan,indonesia,"Jl. KH. Mohamad Kholil No.50A, Demangan Timur, Demangan, Kec. Bangkalan, Kabupaten Bangkalan, Jawa Timur 69115",bangkalan,BPOM,
199,super empot,"Mengencangkan kembali otot otot kewanitaan, Mengurangi lendir berlebihan pada daerah kewanitaan, Memberikan kepuasan hubungan suami istri, Menjaga kesehatan wanita, Menjaga agar awet muda.","Kulit Buah Delima, bubuk Pronojiwo, Majakani,Akar Licorice Acutilobum, Kayu Rapet","2 x 5 pil sehari ( pada pagi dan malam / 30 menit setelah makan ). Jamu diminum sebanyak 5 pil , yaitu pagi waktu 30 menit sesudah dan petang sesudah makan malam",tidak ada,pil,berkah madu/sumber madu,Jamu Pasutri,indonesia,"Jl. KH. Mohamad Kholil No.50A, Demangan Timur, Demangan, Kec. Bangkalan, Kabupaten Bangkalan, Jawa Timur 69115",bangkalan,BPOM,
200,super rapet,membantu mengurangi lendir,"Temu Rapet, Manjakani, Kunyit, Kayu Rapet, Kencur",3xsehari 5 butir.,tidak ada,pil,berkah madu/sumber madu,Jamu Perawatan Kewanitaan,indonesia,"Jl. KH. Mohamad Kholil No.50A, Demangan Timur, Demangan, Kec. Bangkalan, Kabupaten Bangkalan, Jawa Timur 69115",bangkalan,BPOM,
201,JAMU PEGEL LINU,mengatasi gatal - gatal dan bau yang kurang sedap pada wanita,"kencur, jahe, kunyit, dan sereh",3xsehari 5 butir.,tidak ada,pil,berkah madu/sumber madu,Jamu Perawatan Kewanitaan,indonesia,"Jl. KH. Mohamad Kholil No.50A, Demangan Timur, Demangan, Kec. Bangkalan, Kabupaten Bangkalan, Jawa Timur 69115",bangkalan,BPOM,
202,galian rapet,rapat mencengkram saat berhubungan intim.hingga melestarikan hubungan suami istri ,"Kunyit, Temulawak, Kencur, Daun gambir",3 x sehari @5 pil sekali minum ,tidak ada,pil,berkah madu/sumber madu,Jamu Pasutri,indonesia,"Jl. KH. Mohamad Kholil No.50A, Demangan Timur, Demangan, Kec. Bangkalan, Kabupaten Bangkalan, Jawa Timur 69115",bangkalan,BPOM,
203,jamu dalimah putih,dan selalu awet muda bagi perempuan,"temulawak, kulit buah delima putih, daun sirih, temu kunci",3 x sehari @ 5 biji,tidak ada,pil,berkah madu/sumber madu,Jamu Perawatan Kewanitaan,indonesia,"Jl. KH. Mohamad Kholil No.50A, Demangan Timur, Demangan, Kec. Bangkalan, Kabupaten Bangkalan, Jawa Timur 69115",bangkalan,BPOM,
204,GALIAN SEHAT / MONTOK,"Pil jamu ramuan Madura untuk wanita / pria yang kurang nafsu makan, berbadan kurus, muka pucat, sering sakit, badan lemah dan lain-lain. Minumlah jamu ini secara teratur supaya badan jadi sehat, segar dan montok padat berisi.","Rimpang Kunyit,Rimpang Temulawak, Rimpang Lengkuas,Buah Kabesak",Minum 3 x 5 pil / hari.,tidak ada,pil,berkah madu/sumber madu,Jamu Kesehatan,indonesia,"Jl. KH. Mohamad Kholil No.50A, Demangan Timur, Demangan, Kec. Bangkalan, Kabupaten Bangkalan, Jawa Timur 69115",bangkalan,BPOM,
205,minyak zaitun,"Mengencangkan dan menghaluskan kulit muka dan seluruh tubuh (kulit bersisik, pecah-pecah dan kasar), dan sebagai pengganti pelembab dan bisa juga untuk minyak urut/pijat baik untuk dewasa dan anak/bayi.",zaitun,Oleskan minyak zaitun secukupnya bagian kulit/tubuh yang dikehendaki.,tidak ada,cair,berkah madu/sumber madu,Jamu Kesehatan,indonesia,"Jl. KH. Mohamad Kholil No.50A, Demangan Timur, Demangan, Kec. Bangkalan, Kabupaten Bangkalan, Jawa Timur 69115",bangkalan,BPOM,
206,super pria,"Menyembuhkan lemah syahwat dan impotensi pada laki laki, Menambah gairah bagi pria.","Biji Benalu,batang tumbuhan, biji pinang 20%, kulit kering  20% Dan bahan lain sampai 100%",5 pil pagi dan 5 pil malam,tidak ada,pil,berkah madu/sumber madu,Jamu Pasutri,indonesia,"Jl. KH. Mohamad Kholil No.50A, Demangan Timur, Demangan, Kec. Bangkalan, Kabupaten Bangkalan, Jawa Timur 69115",bangkalan,BPOM,
207,empot v,"mampu melancarkan menstruasi, mengencangkan kulit,mengatasi payudara kendur, mengencangkan miss-v, mengobati kista, mencegah kanker payudara, menguatkan pinggang, membersihkan bakteri dan jamur pada miss-v (keputihan)","Areca Catechu Fructus, Boesenbergiae Rotunda Rhizoma, Curcuma Longa Rhizoma, Garcinia Mangostana Pericarpium, Kaempferia Angustifolia Rhizoma, Punica Granatum Pericarpium, Quercus Infectoria Fructus",2x sehari @3pil,tidak ada,pil,PT. Firdaus,Jamu Perawatan Kewanitaan,Se-indonesia,Jl. Kh Lemah Duwur Gg. V Gg.IX No.60,Bangkalan,Tidak ada,
208,galian montok,"mampu mengencangkan dan membesarkan payudara, menjaga tubuh ideal, mengencangkan dan menghaluskan kulit agar tetap awet muda","Baeckea Frutescens Folium, Curcuma Longa Rhizoma, Curcuma Xanthorriza Rhizoma, Elephantopus Scaber Folium, Foeniculum Vulgare Fructus, Helicteres Isora Fructus, Melastoma Malabathricum Folium, Parkia Roxburghii Semen, Phyllanthus Urinaria Linn","2x sehari 5 kapsul, siang dan malam",tidak ada,kapsul,PT. Firdaus,Jamu Perawatan Kewanitaan,Se-indonesia,Jl. Kh Lemah Duwur Gg. V Gg.IX No.60,Bangkalan,Tidak ada,
209,harum asmara,"Merapatkan & melunturkan miss v, mengatasi bau tidak sedap, serta gatal gatal di organ intim, mengatasi cairan berlebihan, mengharumkan area vagina, menyembuhkan keputihan","Boesenbergiae Rotunda Rhizoma, Citrus Sinensis Fructus Cortex, Kaempferia Angustifolia Rhizoma,
Parameria Laevigata Cortex, Quercus Infectoria Fructus, Terminalia Bellirica Fructus, Terminalia Chebulia Fructus",5 pil 2x sehari,tidak ada,pil,PT. Firdaus,Jamu Perawatan Kewanitaan,Se-indonesia,Jl. Kh Lemah Duwur Gg. V Gg.IX No.60,Bangkalan,Tidak ada,
210,Jamu sehat wanita,"Menambah stamina, menjaga kesehatan tubuh khusus wanita","Boesenbergiae Rotunda Rhizoma, Citrus Sinensis Fructus Cortex, Kaempferia Angustifolia Rhizoma, Parameria Laevigata Cortex, Quercus Infectoria Fructus, Terminalia Bellirica Fructus, Terminallia Bellerica Fructus",2x sehari 3 pil,tidak ada,pil,PT. Firdaus,Jamu Perawatan Kewanitaan,Se-indonesia,Jl. Kh Lemah Duwur Gg. V Gg.IX No.60,Bangkalan,Tidak ada,
211,galian singset,"Mengurangi kelebihan lemak pada bagian perut, paha dan kaki. Mengecilkan Perut dan Menjaga bentuk tubuh Ideal ,Meningkatkan hormon tubuh pada bagian kewanitaan.  Mencerahkan, menyegarkan kulit dan Mengencangkan kulit  Menjaga Penampilan selalu Awet Muda, Menghilangkan aroma badan yang tidak sedap sehingga tubuh jadi harum dan wangi ,Membuat tampil seksi & percaya diri",Cassia Angustifolia Folium,"2x sehari 3 pil, siang dan malam",tidak ada,pil,PT. Firdaus,Jamu Perawatan Kewanitaan,Se-indonesia,Jl. Kh Lemah Duwur Gg. V Gg.IX No.60,Bangkalan,Tidak ada,
212,penyubur ,"menguatkan rahim, menambah hormon menyuburkan kandungan","kunyit, temu gunung sentok, temulawak",2x sehari 5 pil,tidak ada,pil,PT. Firdaus,Jamu Perawatan Kewanitaan,Se-indonesia,Jl. Kh Lemah Duwur Gg. V Gg.IX No.60,Bangkalan,Tidak ada,
213,bersalin kapsul,"Mempercepat penyembuhan luka melahirkan, Membersihkan rahim, Mengurangi bau tak sedap, Memulihkan stamina & vitalitas,Kulit kendur jadi singset,Organ Kewanitaan kembali RAPET & KESET","jamu asi, param atas, param bawah, cebokan, dupa, godokan temulawak, jamu 40hari tapel pales",2x sehari 5 pil,tidak ada,pil,PT. Firdaus,Jamu Perawatan Kewanitaan,Se-indonesia,Jl. Kh Lemah Duwur Gg. V Gg.IX No.60,Bangkalan,Tidak ada,
214,bersalin bubuk," Menuntaskan darah kotor. ,Menyehatkan ibu dn bayi yang dilahirkan , Melancarkan asi ","jamu asi, param atas, param bawah, cebokan, dupa, godokan temulawak, jamu 40hari tapel pales",2x sehari,tidak ada,serbuk,PT. Firdaus,Jamu Perawatan Kewanitaan,Se-indonesia,Jl. Kh Lemah Duwur Gg. V Gg.IX No.60,Bangkalan,Tidak ada,
215,jamu paket penganten,"mengharumkan bau badan, mengurangi keringat berlebihan, menyembuhkan keputihan, mengencangkan otot kewanitaan.","Alyxia Stellata Cortex, Baeckea Frutescens Folium, Cinnamomum Burmanii Cortex, Curcuma Longa Rhizoma, Curcuma Xanthorrhiza Rhizoma, Foeniculum Vulgare Semen, Kaempferia Galanga Rhizoma, Nigella Sativa Semen, Piper Cubeba Fructus, Trigonellae Foenum Graecum","Jamu no 1 diminum sehari sekali, Dipakai 10 hari dengan satu sendok makan tambahkan air panas. Jamu no 2 Setelah 10 hari pertama lanjut ke no 2, Cara pemakaian sama. Manjakani : Diminum 2x sehari 3 pil",tidak ada,Serbuk/pil,PT. Firdaus,Jamu Perawatan Kewanitaan,Se-indonesia,Jl. Kh Lemah Duwur Gg. V Gg.IX No.60,Bangkalan,Tidak ada,
216,lulur susu,"Membantu memutihkan, menghaluskan serta membersihkan dan mengharumkan kulit tubuh anda secara alami.","susu, daun pandan","Campurkan harum sari lulur susu dengan air secukupnya, gosokan pada seluruh tubuh, bersihkan pakai air.",tidak ada,serbuk,PT. Firdaus,Jamu Kesehatan,Se-indonesia,Jl. Kh Lemah Duwur Gg. V Gg.IX No.60,Bangkalan,Tidak ada,
217,vitmil,Membantu memelihara kesehatan wanita dan membantu menyegarkan badan,"Curcuma xanthorrhiza Rhizoma 46 mg, Curcuma longa Rhizoma 23 mg, Piper cubeba Fructus 23 Mg, dlln","Dewasa, 2x Sehari 5 Pil",tidak ada,pil,PT. Firdaus,Jamu Perawatan Kewanitaan,Se-indonesia,Jl. Kh Lemah Duwur Gg. V Gg.IX No.60,Bangkalan,Tidak ada,
218,Jamu singset,"Membikin singset, Merapatkan, Melangsingkan, Menyehatkan Badan","Boesen Bergia Rotunda, Areca Catechu Piper Betle.",Minum secara teratur 2x sehari @ 5 pil,tidak ada,kapsul,IBU MASTURAH,Jamu Perawatan Kewanitaan,luar indonesia,Jl.Panglima Sudirman Gg.0,Bangkalan,Tidak ada,
219,Parem Bangkes,"Untuk mengembalikan kulit kendur wanita , dan menghangatkan, untuk kecantikan wanita","kunci, temulawak, temu ireng, jahe, dan lain lain","Direbus sampai hancur, sebelum mandi di hangatkan. Oleskan pada perut sampai pinggang dan paha",tidak ada,pil,IBU MASTURAH,Jamu Perawatan Kewanitaan,luar indonesia,Jl.Panglima Sudirman Gg.1,Bangkalan,Tidak ada,
220,Jamu Pejja,"memperlancar produksi ASI, mengembalikan organ reproduksi seperti sebelum hamil, menyehatkan ibu dan bayi serta membuat ibu yang baru melahirkan tetap awet muda","Lempuyang, temulawak, kedaung",Minum secara teratur 2x sehari @ 5 pil,tidak ada,kapsul,IBU MASTURAH,Jamu Perawatan Kewanitaan,luar indonesia,Jl.Panglima Sudirman Gg.2,Bangkalan,Tidak ada,
221,Ganita-V (Rukun Wanita),"Membantu mengurangi lendir yang berlebihan pada daerah kewanitaan, untuk para ibu yang sering mengalami kegagalan dalam berhubungan seperti keputihan, kelelahan, stress . Menghilangkan bau yang tidak enak, mengencangkan otot kewanitaan dan menyembuhkan keputihan","Kaemferiae Galanga Rhizoma Ekstrak, Curcuma Xanthoriza Ekstrak, Foeniculum Vulgare Semen Ekstrak, Areca catechu semen ekstrak.",2x4 Kapsul setiap hari (Pagi dan malam),tidak ada,kapsul,ribkah maryam jokotole,Jamu Perawatan Kewanitaan,Se-indonesia,Jl.KHA. Marzuki 68 B,Bangkalan,BPOM,
222,Lancar Bulan (Nifas/Pluntur),Membantu melancarkan nyeri haid dan meredakan nyeri haid.,"Kaempferiae Rhizoma Ekstrak, Nigellae Semen Ekstrak, Elephanttropi Radix Ekstak, Andrographidis Ekstrak",Dewasa minum 2x sehari 2-4 kapsul,tidak ada,kapsul,ribkah maryam jokotole,Jamu Perawatan Kewanitaan,Se-indonesia,Jl.KHA. Marzuki 68 B,Bangkalan,BPOM,
223,Sepet Wangi (Sari Wangi),"Membantu mengurangi lendir berlebih di area kewanitaan. Menghilangkan bau badan yang ditimbulkan dari keringat, menghilangkan bau mulut, menyuburkan pertumbuhan kulit.","Cucurma Xanthoriza Rhizoma Ekstrak, Piper Bettel folium ekstrak, Coriandrum satrium semen ekstrak dlln.",Minum secara teratur 2x sehari 2-4 kapsul,tidak ada,kapsul,ribkah maryam jokotole,Jamu Perawatan Kewanitaan,Se-indonesia,Jl.KHA. Marzuki 68 B,Bangkalan,BPOM,
224,GL- Rapet Madura ( Galian Rapet),"Mengatasi bau badan, Membantu mengurangi keputihan, menghilangkan lendir dan bau tidak enak pada area kewanitaan. Merapatkan dan mengecilkan vagina. Menambah gairah sex.","Foeniculli Vulgaree Ekstrak, Curcumae xhantorize ekstrak, Kaemferia rotunda ekstrak.",Minum secara teratur 2x sehari 2-4 kapsul,tidak ada,kapsul,ribkah maryam jokotole,Jamu Pasutri,Se-indonesia,Jl.KHA. Marzuki 68 B,Bangkalan,BPOM,
225,Bengkes (Empot - Empot),"Membantu menyegarkan badan, membantu mengurangi lendir berlebih pada area kewanitaan.","Nigela sativa Semen ekstrak, parameria laevigata cortex ekstrak, citrus hystrix cortex ekstrak.","Dewasa : 2x sehari 5 pil, sesudah makan",tidak ada,pil,ribkah maryam jokotole,Jamu Perawatan Kewanitaan,Se-indonesia,Jl.KHA. Marzuki 68 B,Bangkalan,BPOM,
226,Wangibungai (Keputihan),membantu mengurangi lendir yang berlebihan pada daerah kewanitaan.,"Rheum Officinale, cucumae Xanthoriza, Massoia Aromatica, Curcuma zedoria, Piper betie.",Minum secara teratur 2x sehari 2-4 kapsul,tidak ada,kapsul,ribkah maryam jokotole,Jamu Perawatan Kewanitaan,Se-indonesia,Jl.KHA. Marzuki 68 B,Bangkalan,BPOM,
227,Sehat Lelaqi,"Membantu menyehatkan badan dan meredakan pegal linu, nyeri otot pinggang, melancarkan peredaran darah.","Alyxia stelata cortex ekstrak, Curcuma xanthoriza Ekstrak, Alpinia Galanga rhizoma ekstrak, Foeniculum vulgare semen ekstrak.",Dewasa 2x sehari 5 pil sesudah makan pagi dan malam,tidak ada,pil,ribkah maryam jokotole,Jamu Kesehatan,Se-indonesia,Jl.KHA. Marzuki 68 B,Bangkalan,BPOM,
228,Timung Penganten,Untuk Menyegarkan dan mengharumkan Tubuh Wanita,"akar wangi, temulawak, serai wangi","Rebus samapi mendidih, lalu uapkan",tidak ada,serbuk,berkah madu/sumber madu,Jamu Perawatan Kewanitaan,indonesia,"Jl. KH. Mohamad Kholil No.50A, Demangan Timur, Demangan, Kec. Bangkalan, Kabupaten Bangkalan, Jawa Timur 69117",bangkalan,BPOM,
229,Sabun Sari Rapet,Menjaga kebersihan Vagina,"Sodium Hidroxide, Milk Lipid, Kalium Aluminium Sulfat, Fatty Acid, Coconut Oil, Olive Oil, Parfum.",Sabunkan pada vagina hingga merata kemudian dibilas dengan air sampai bersih,tidak ada,sabun,berkah madu/sumber madu,Jamu Perawatan Kewanitaan,indonesia,"Jl. KH. Mohamad Kholil No.50A, Demangan Timur, Demangan, Kec. Bangkalan, Kabupaten Bangkalan, Jawa Timur 69117",bangkalan,BPOM,
230,Majasmara,"mengencangkan wajah dan kulit, Mengencangkan payudara, Mengencangkan otot - otot kewanitaan, Melancarkan haid.","temu kunci, kulit jeruk, kunci pepet","2x sehari 3 pil, siang dan malam",tidak ada,pil,berkah madu/sumber madu,Jamu Perawatan Kewanitaan,indonesia,"Jl. KH. Mohamad Kholil No.50A, Demangan Timur, Demangan, Kec. Bangkalan, Kabupaten Bangkalan, Jawa Timur 69117",bangkalan,BPOM,
231,Minyak Jinten Hitam,"Meningkatkan kekebalan Tubuh terhadap penyakit, mengobati rematik, mengobati asma.",jinten hitam,2-3 pil per hari,tidak ada,pil,berkah madu/sumber madu,Jamu Kesehatan,indonesia,"Jl. KH. Mohamad Kholil No.50A, Demangan Timur, Demangan, Kec. Bangkalan, Kabupaten Bangkalan, Jawa Timur 69117",bangkalan,BPOM,
232,Minyak Zaitun,"Meredakan Batuk, Memperkuat stamina dan mencegah kanker, mengobati kencing manis, mencegah gangguan pencernaan, mengobati cacing dalam perut,.",zaitun,"1-2 kapsul, 3 kali sehari",tidak ada,pil,berkah madu/sumber madu,Jamu Kesehatan,indonesia,"Jl. KH. Mohamad Kholil No.50A, Demangan Timur, Demangan, Kec. Bangkalan, Kabupaten Bangkalan, Jawa Timur 69117",bangkalan,BPOM,
233,Propolis,"Meningkatkan Kekebalan Tubuh, melancarkan peredaran darah, menambah sistem hormon, untuk kesuburan wanita.","minyak atsiri tumbuhan, lilin lebah, dan serbuk sari", 2-3 kali sehari sebanyak 5-7 tetes,tidak ada,cair,berkah madu/sumber madu,Jamu Perawatan Kewanitaan,indonesia,"Jl. KH. Mohamad Kholil No.50A, Demangan Timur, Demangan, Kec. Bangkalan, Kabupaten Bangkalan, Jawa Timur 69117",bangkalan,BPOM,
234,Lulur Hitam Tradisional,"Mencerahkan kulit wanita, Menghaluskan Kulit, Menghilangkan Flek hitam pada wajah, Menghilangkan Stretch mark","ketan hitam, temulawak, daun pandan","Oleskan secara merata pada wajah dan seluruh tubuh, lalu diamkan sampai 20 menit, selanjutnya bilas",tidak ada,serbuk,PT. Firdaus,Jamu Perawatan Kewanitaan,Se-indonesia,Jl. Kh Lemah Duwur Gg. V Gg.IX No.60,Bangkalan,Tidak ada,
235,Empot Ayam Madura Super,"Membantu memperkuat Otot vagina, membuat denyut nikmat dan istimewa pada vagina , membantu mengeraskan otot vagina, supaya tidak longgar, membantu mengurangi keputihan dan gatal gatal pada alat kelamin wanita","Zingiberis Rhizoma, Rhei Radix, Myristiae Semen, Crytocarlae Aromaticae, Curcuma Phirama, dlln",Jamu Diminum 2x sehari pagi dan malam 1 jam setelah makan (10 pul/ butir sekali minum),tidak ada,pil,ribkah maryam jokotole,Jamu Perawatan Kewanitaan,Se-indonesia,Jl.KHA. Marzuki 68 B,Bangkalan,BPOM,
236,Tongkat Asli madura Premium Rose,"Mengangkat Lendir dan kotoran yang ada di dalam miss V, menjadikan miss V rapat, kencang dan bersih, mengatasi keputihan , memperkuat otot - otot kewanitaan, Menghilangkan gatal - gatal akibat jamur, memuaskan pasangan","Daun sirih, Manjakani, Delima putih, Pharameriae cortex, Callae, Gausumae folium.","Bisa berulang ulang (4-6×) setelah dipakai, harap di cuci bersih dan di keringkan. Simpan ditempat sejuk dan kering.",tidak ada,tongkat,ribkah maryam jokotole,Jamu Pasutri,Se-indonesia,Jl.KHA. Marzuki 68 B,Bangkalan,BPOM,
237,Bikin Gemuk,Menambah berat badan,"Curcuma Doministica Rhizoma, Curcumae Xanthoriza, Carisa Papaya, Kaempferia Aeguginosa , dlln",2x sehari 10 pil setiap pagi dan malam,tidak ada,pil,ribkah maryam jokotole,Jamu Kesehatan,Se-indonesia,Jl.KHA. Marzuki 68 B,Bangkalan,BPOM,
238,Spray Virgin (Madura asmara spray),"Merapatkan dan mengharumkan miss V, sehingga seperti perawan kembali, membantu mengurangi lendir berlebih dan bau tidak sedap.","Kaempferia angustifolia, pamaria barbata, quercus lusitanica, aqua, etanol, pharfum",semprotkan 2-3 kali pada liang miss V5 menit sebelum berhubungan,tidak ada,cair,ribkah maryam jokotole,Jamu Perawatan Kewanitaan,Se-indonesia,Jl.KHA. Marzuki 68 B,Bangkalan,BPOM,
239,Dupa (Ratus),"Campuran mandi rempah, Bisa digunakan untuk gurah Vagina",rempah,Ambil dupa secukupnya kemudian taburkan ke atas bara api yang tidak terlalu besar,tidak ada,serbuk,Madura Sari,Jamu Perawatan Kewanitaan,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
240,Sehat lelaki,"Menjaga agar tubuh tidak mudah lelah,  Melancarkan peredaran darah, melancarkan keharmonisan saat berhubungan","zingiberis rhizoma, areca catechu, royal jelly",5 pill 2 kali sehari,tidak ada,pil,Madura Sari,Jamu Pasutri,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
241,Jamu Galian Parem (Parem Tabuk),"Jamu pertama yang diminum setelah melahirkan untuk menuntaskan keluarnya darah nifas, menghilangkan letih, lesu dan pegal pegal setelah melahirkan.","kunyit, jahe, temulawak, kencur, pegagan","Larutkan 1 sdt jamu dengan 200ml (secangkir) air hangat, diminum sehari sekali, boleh dicampur dengan madu",tidak ada,serbuk,Madura Sari,Jamu Perawatan Kewanitaan,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
242,Black Garlic (Bawang Hitam Tunggal),"Menjaga kesehatan jantung, memperbaiki metabolisme tubuh, meningkatkan imunitas tubuh, mengurangi resiko kanker, tinggi antioksidan, menurunkan kadar kolesterol, mengontrol gula, mencegah penuaan, melindungi dari infeksi",fermentasi bawang putih,Dikonsumsi sebanyak 2 butir/pil sehari setelah makan atau menjelang tidur,tidak ada,pil,Madura Sari,Jamu Kesehatan,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
243,Jamu Jakula,"Menambah kejantanan dan kekuatan Sex, Mempercepat Ereksi Lemah Syahwat, Mengobati Ejakulasi Dini, Menambah Frekuensi Hubungan Intim & Tahan Lama","Alyxia Stellata Cortex, Areca Catechu Semen, Curcuma Xanthorriza Rhizoma, Foeniculum Vulgare Fructus, Nigella Sativa Semen, Parameriae Laevigata Lignum, Piper Retrofractum Vahl, Quercus Infectoria Fructus, Trigonella Foenum Graecum, Zingiber Officinale Rhizome, Zingiber Zerumbet Rhizoma,",2x sehari 5 pil,tidak ada,pil,PT. Firdaus,Jamu Pasutri,Se-indonesia,Jl. Kh Lemah Duwur Gg. V Gg.IX No.60,Bangkalan,Tidak ada,
244,Sehat Laki-Laki (Perkasa),"Menambahkan Stamina dalam berhubungan bagi laki-laki, Menambah Hormon, mengentalkan Sperma, Mencegah Ejakulasi Dini.","jahe, ginseng, tongkat ali, beras kencur",2x3 pil sehari pagi dan sore hari,tidak ada,pil,Mustika Madura,Jamu Pasutri,hingga luar madura,Jl.Jokotole No.27,pamekasan,Tidak ada,
245,Helbeh Mutiara (Jamu Kuat),"Menambah Stamina Pria saat berhubungan, Mengatasi Ejakulasi Dini, menambahkan Gairah Tubuh Saat Berhubungan, Membengkitkan Napsu saat berhubungan.","jinten, kapulaga, cabe jamu, kencur dll",1-2 x sehari 1-3 sendok langsung dapat ditambah dengan kuning telor,tidak ada,cair,Karya Ibu Abdullah,Jamu Pasutri,madura,,Pamekasan,Tidak ada,
246,Jamu tradisional madura sehat,"Jamu pertama yang diminum setelah melahirkan untuk menuntaskan keluarnya darah nifas, menghilangkan letih, lesu dan pegal pegal setelah melahirkan.","Temu lawak, kunyit, kencur, jahe, temu kunci, lengkuas, lampojang, daun sirih, daun ciplukan","2-3 Sendok Makan, Diseduh dengan 1 Gelas Air Hangat 2X Sehari",tidak ada,serbuk,UD. Lancar Jaya Madura,Jamu Perawatan Kewanitaan,Se-indonesia,,,Tidak ada,
247,Ramuan Ummi Jafir,"Menyegarkan badan, melancarkan pencernaan, menguatkan imun, dan menghangatkan badan","Lemon, jeruk sunkist, kunir, jahe, madu",sehari 1x,tidak ada,cair,PT. Firdaus,Jamu Kesehatan,Se-indonesia,Jl. Kh Lemah Duwur Gg. V Gg.IX No.60,Bangkalan,BPOM,
248,Jamu Sakera,"Menurunkan gula darah, kolesterol, dan trigliserida, mengendalikan hipertensi, meningkatkan kesehatan jantung, meningkatkan kesehatan ginjal, menurunkan asam urat, mencegah kanker, meningkatkan imun, ","Syzgium Polyanthum, Moringa Oleifera, Cymbopogon Citratus, Ziniber offcinale, Morinda Citrifolia, dll",1 kali sehari 1 botol setiap hari,tidak ada,cair,CV. Sehat Berkah Semesta,Jamu Kesehatan,Se-indonesia,"Panaguan Barat, Panaguan, Kab. Pamekasan",pamekasan,Tidak ada,
249,Lanange Jagad,"Memperbaiki ejakulasi dini, memberi kekuatan lebih, tahan lama berhari-hari","Gingseng, tribulus, buah pinang, kopi houseblend",seduh dengan air hangat,tidak ada,serbuk,Kedai Rimpang,Jamu Pasutri,Se-indonesia,Jl. Seludang No 37 Sumenep,sumenep,Tidak ada,
250,Kuncup wangi,"Anti keputihan dan lendir, anti bau tidak sedap di badan dan miss v, merapatkan otot miss v, antiseptik dan anti bakteri, menghilangkan gatal miss v","Kayu rapet, manjakani, delima putih, racikan rimpang","1 sachet untuk 150ml air hangat, konsumsi rutin 2 kali sehari",tidak ada,serbuk,Kedai Rimpang,Jamu Perawatan Kewanitaan,Se-indonesia,Jl. Seludang No 37 Sumenep,sumenep,Tidak ada,
251,Sakera Ramuan Pria Dasyat,"Meningkatkan gairah sex, memperbaiki ejakulasi dini, memberi kekuatan lebih, tahan lama berhari-hari","Pinang, Ginseng, Jintan Hitam, Jahe, dll",1 sachet untuk 150ml air hangat untuk 1 kali minum,tidak ada,serbuk,Kedai Rimpang,Jamu Pasutri,Se-indonesia,Jl. Seludang No 37 Sumenep,sumenep,Tidak ada,
